time; pose_x; pose_y; pose_heading 
0.896; -2.80069; 7.64569e-07; -1.57086
0.912; -2.80069; 7.64569e-07; -1.57086
0.928; -2.80069; 7.64569e-07; -1.57086
0.944; -2.80069; 7.64569e-07; -1.57086
0.96; -2.79064; 1.32508e-06; -1.57085
0.976; -2.79064; 1.32508e-06; -1.57085
0.992; -2.79064; 1.32508e-06; -1.57085
1.008; -2.79064; 1.32508e-06; -1.57085
1.024; -2.79064; 1.32508e-06; -1.57085
1.04; -2.78059; 1.73088e-06; -1.57083
1.056; -2.78059; 1.73088e-06; -1.57083
1.072; -2.78059; 1.73088e-06; -1.57083
1.088; -2.78059; 1.73088e-06; -1.57083
1.104; -2.78059; 1.73088e-06; -1.57083
1.12; -2.77054; 1.89229e-06; -1.5708
1.136; -2.77054; 1.89229e-06; -1.5708
1.152; -2.77054; 1.89229e-06; -1.5708
1.168; -2.77054; 1.89229e-06; -1.5708
1.184; -2.77054; 1.89229e-06; -1.5708
1.2; -2.76049; 1.79944e-06; -1.57078
1.216; -2.76049; 1.79944e-06; -1.57078
1.232; -2.76049; 1.79944e-06; -1.57078
1.248; -2.76049; 1.79944e-06; -1.57078
1.264; -2.76049; 1.79944e-06; -1.57078
1.28; -2.75045; 1.52698e-06; -1.57077
1.296; -2.75045; 1.52698e-06; -1.57077
1.312; -2.75045; 1.52698e-06; -1.57077
1.328; -2.75045; 1.52698e-06; -1.57077
1.344; -2.75045; 1.52698e-06; -1.57077
1.36; -2.7404; 1.20728e-06; -1.57077
1.376; -2.7404; 1.20728e-06; -1.57077
1.392; -2.7404; 1.20728e-06; -1.57077
1.408; -2.7404; 1.20728e-06; -1.57077
1.424; -2.7404; 1.20728e-06; -1.57077
1.44; -2.73035; 9.20822e-07; -1.57077
1.456; -2.73035; 9.20822e-07; -1.57077
1.472; -2.73035; 9.20822e-07; -1.57077
1.488; -2.73035; 9.20822e-07; -1.57077
1.504; -2.73035; 9.20822e-07; -1.57077
1.52; -2.7203; 7.57826e-07; -1.57079
1.536; -2.7203; 7.57826e-07; -1.57079
1.552; -2.7203; 7.57826e-07; -1.57079
1.568; -2.7203; 7.57826e-07; -1.57079
1.584; -2.7203; 7.57826e-07; -1.57079
1.6; -2.71025; 8.23285e-07; -1.57082
1.616; -2.71025; 8.23285e-07; -1.57082
1.632; -2.71025; 8.23285e-07; -1.57082
1.648; -2.71025; 8.23285e-07; -1.57082
1.664; -2.71025; 8.23285e-07; -1.57082
1.68; -2.70021; 1.14936e-06; -1.57084
1.696; -2.70021; 1.14936e-06; -1.57084
1.712; -2.70021; 1.14936e-06; -1.57084
1.728; -2.70021; 1.14936e-06; -1.57084
1.744; -2.70021; 1.14936e-06; -1.57084
1.76; -2.69016; 1.68228e-06; -1.57086
1.776; -2.69016; 1.68228e-06; -1.57086
1.792; -2.69016; 1.68228e-06; -1.57086
1.808; -2.69016; 1.68228e-06; -1.57086
1.824; -2.69016; 1.68228e-06; -1.57086
1.84; -2.68011; 2.29734e-06; -1.57086
1.856; -2.68011; 2.29734e-06; -1.57086
1.872; -2.68011; 2.29734e-06; -1.57086
1.888; -2.68011; 2.29734e-06; -1.57086
1.904; -2.68011; 2.29734e-06; -1.57086
1.92; -2.67006; 2.89297e-06; -1.57085
1.936; -2.67006; 2.89297e-06; -1.57085
1.952; -2.67006; 2.89297e-06; -1.57085
1.968; -2.67006; 2.89297e-06; -1.57085
1.984; -2.67006; 2.89297e-06; -1.57085
2; -2.66001; 3.39567e-06; -1.57084
2.016; -2.66001; 3.39567e-06; -1.57084
2.032; -2.66001; 3.39567e-06; -1.57084
2.048; -2.66001; 3.39567e-06; -1.57084
2.064; -2.66001; 3.39567e-06; -1.57084
2.08; -2.64997; 3.69194e-06; -1.57081
2.096; -2.64997; 3.69194e-06; -1.57081
